COD_PERFIL	DEPARTAMENTO	MUNICIPIO	CLIMA_AMBIENTAL	DISTRIBUCION_LLUVIAS	PORC_PENDIENTE	GRADO_EROSION	DRENAJE_NATURAL	FRECUENCIA_INUNDACION	H1_VOLUMEN_POR_CFR_1	PORC_PEDREGOSIDAD_SUPERFICIAL_CUBIERTA	PROFUNDIDAD_EFECTIVA	H1_CLASE_ESTRUCTURA_1	FERTILIDAD	CE_(dS_m)	"PORC_SAT_SODIO
SALINIDAD_PSI "	PORC_SAI	PORC_CARBONO ORGANICO
43	Cesar	Valledupar	15	Bimodal	3 - 7	N/A	Bien drenado	N/A	0	N/A	>150	Fina	#N/A	#N/A	#N/A	#N/A	#N/A
SCE-023	Cesar	El Copey	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	0	N/A	100 - 150	Fina y media	Baja	0	0	2,985074627	1,7
SCE-052	Cesar	El Copey	3	Monomodal o Bimodal	0 - 1	N/A	Bien drenado	N/A	0	N/A	100 - 150	Fina y media	Media	0	0	0	181
SCE-076	Cesar	Chimila	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Ocasional	0	0.1 - 3	25 - 50	Fina y media	Baja	0	0	3,542234332	1,5
SCE-081	Cesar	El Copey	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Ocasional	0	15 - 50	75 - 100	Fina y media	Media	0	0	1,01010101	7,8
SMG-024	Magdalena	CiŽnaga	4	Monomodal o Bimodal	25 - 50	Ligero	Bien drenado	N/A	3	15 - 50	100 - 150	Media y gruesa	Baja	0	0	0	4,2
SMG-035	Magdalena	CiŽnaga	3	Monomodal o Bimodal	25 - 50	Ligero	Bien drenado	N/A	N/A	50 - 90	100 - 150	Fina y media	Alta	0	0	0	100
SMG-039	Magdalena	Fundaci—n	9	Monomodal o Bimodal	25 - 50	Ligero	Bien drenado	N/A	5	N/A	50 - 75	Fina y media	Baja	0	0	6,5	1,2
SMG-040	Magdalena	Fundaci—n	3	Monomodal o Bimodal	50 - 75	Ligero	Bien drenado	N/A	40	N/A	<25	Fina y media	Muy baja	0	0	0	0
SMG-078	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Ocasional	N/A	N/A	75 - 100	Fina	Alta	0	0	0	81,8
SMG-079	Magdalena	Fundaci—n	3	Monomodal o Bimodal	25 - 50	Ligero	Excesivamente drenado	N/A	50	N/A	25 - 50	Fina y media	Baja	0	0	0	9,6
SMG-080	Magdalena	Fundaci—n	3	Monomodal o Bimodal	12 - 25	Ligero	Excesivamente drenado	N/A	40	N/A	<25	Fina y media	Media	0	0	0	60,8
SMG-084	Magdalena	CiŽnaga	9	Monomodal o Bimodal	25 - 50	N/A	Excesivamente drenado	N/A	15	N/A	25 - 50	Media y gruesa	Baja	0	0	0	10,3
SMG-090	Magdalena	Fundaci—n	3	Monomodal o Bimodal	12 - 25	Ligero	Excesivamente drenado	N/A	5	N/A	100 - 150	Fina y media	Baja	0	0	0	2,5
SMG-091	Magdalena	Fundaci—n	4	Monomodal o Bimodal	12 - 25	Ligero	Bien drenado	N/A	N/A	N/A	100 - 150	Fina y media	Baja	0	0	0	16,3
SMG-092	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	Si hay	N/A	N/A	<25	Fina y media	#N/A	#N/A	#N/A	#N/A	#N/A
SMG-093	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Muy pobre	Si hay	N/A	N/A	<25	Fina y media	Alta	0	0	0	39,2
SMG-094	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	Ligero	Excesivamente drenado	Frecuente	N/A	N/A	100 - 150	Fina y media	Alta	0	0	0,35	130
SMG-095	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	Ligero	Bien drenado	N/A	N/A	N/A	50 - 75	Media y gruesa	#N/A	#N/A	#N/A	#N/A	#N/A
SMG-096	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Imperfecto	Ocasional	N/A	<0.1	25 - 50	N/A	Media	0	0	0	30,5
SMG-097	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Imperfecto	Ocasional	N/A	N/A	75 - 100	Media y gruesa	Alta	0	0	0	87,1
SMG-101	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Excesivamente drenado	Frecuente	N/A	N/A	>150	N/A	Baja	0	0	0	5,8
SMG-103	Magdalena	Fundaci—n	4	Monomodal o Bimodal	12 - 25	Ligero	Bien drenado	N/A	N/A	N/A	<25	Fina	#N/A	#N/A	#N/A	#N/A	#N/A
SMG-104	Magdalena	Fundaci—n	3	Monomodal o Bimodal	0 - 1	N/A	Moderadamente bien drenado	N/A	N/A	<0.1	<25	Gruesa	Alta	0	87,9	0,33	49,5
SMG-105	Magdalena	Fundaci—n	3	Monomodal o Bimodal	0 - 1	N/A	Bien drenado	N/A	N/A	<0.1	50 - 75	Fina y media	Alta	0	0	0	276
SMG-106	Magdalena	Fundaci—n	3	Monomodal o Bimodal	7 - 12	N/A	Moderadamente bien drenado	N/A	N/A	N/A	25 - 50	Fina y media	Alta	0	0	0,99	38,7
SMG-107	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	N/A	N/A	N/A	25 - 50	Fina	Media	0	0	1,4	16,1
SMG-111	Magdalena	Fundaci—n	3	Monomodal o Bimodal	7 - 12	Ligero	Bien drenado	N/A	N/A	N/A	50 - 75	Fina y media	Baja	0	0	1,27	2,2
SMG-112	Magdalena	Fundaci—n	3	Monomodal o Bimodal	7 - 12	Ligero	Bien drenado	N/A	N/A	N/A	50 - 75	Media y gruesa	Baja	0	0	25,96	2,3
SMG-113	Magdalena	Fundaci—n	3	Monomodal o Bimodal	3 - 7	Ligero	Bien drenado	N/A	N/A	N/A	<25	Fina	Muy baja	0	0	8,95	5,2
SMG-121	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	N/A	25 - 50	Fina y media	Media	0	0	0	65,3
SMG-123	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Rara	N/A	N/A	100 - 150	Media y gruesa	Baja	0	0	0	15,8
SMG-124	Magdalena	Fundaci—n	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	N/A	N/A	25 - 50	Fina y media	#N/A	#N/A	#N/A	#N/A	#N/A
SMG-125	Magdalena	Fundaci—n	3	Monomodal o Bimodal	3 - 7	N/A	Moderadamente excesivo	N/A	70	<0.1	<25	N/A	#N/A	#N/A	#N/A	#N/A	#N/A
SMG-126	Magdalena	Fundaci—n	3	Monomodal o Bimodal	1 - 3	N/A	Muy pobre	N/A	N/A	N/A	<25	Media y gruesa	Media	0	0	0	10,5
SN-003	Magdalena	Aracataca	18	Bimodal	1 - 3	Moderado	Pobre	N/A	N/A	N/A	25 - 50	Fina	Baja	0	0	22,8	29
SN-004	Magdalena	Aracataca	21	Monomodal	50 - 75	Moderado	Bien drenado	N/A	N/A	N/A	25 - 50	Fina	Muy baja	0	0	31,25	16
SN-005	Magdalena	Fundaci—n	18	Bimodal	25 - 50	Ligero	Bien drenado	N/A	N/A	N/A	50 - 75	Fina	Muy baja	0	0	56,2	6
SN-015	Cesar	Valledupar	15	Bimodal	25 - 50	Moderado	Excesivo	N/A	0	<0.1	100 - 150	Fina y media	#N/A	#N/A	#N/A	#N/A	#N/A
SN-029	Cesar	Valledupar	14	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	<0.1	100 - 150	Fina y media	Muy baja	0	0	80	3
SN-030	Magdalena	Fundaci—n	14	Monomodal o Bimodal	3 - 7	Ligero	Moderadamente excesivo	N/A	N/A	N/A	50 - 75	Fina	Baja	0	0	2	8
SN-031	Magdalena	Fundaci—n	14	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	N/A	N/A	75 - 100	Fina	Media	0	0	2,2	24
SN-032	Cesar	Valledupar	15	Bimodal	>75	N/A	Bien drenado	N/A	0	<0.1	25 - 50	Fina	Baja	0	0	39,21	8
SN-033	Magdalena	Fundaci—n	14	Monomodal o Bimodal	25 - 50	Severo	Bien drenado	N/A	N/A	N/A	100 - 150	Fina	Muy baja	0	0	69,81	4
SN-040	Cesar	Valledupar	10	Bimodal	1 - 3	Moderado	Moderadamente Bien drenado	N/A	0	<0.1	75 - 100	Media	Media	0	0	25	4
SN-051	Magdalena	Fundaci—n	14	Monomodal o Bimodal	12 - 25	Ligero	Bien drenado	N/A	N/A	N/A	75 - 100	Media	Baja	0	1,8	59,6	1
SN-079	Magdalena	Santa Marta	9	Monomodal o Bimodal	50 - 75	Moderado	Bien drenado	N/A	N/A	N/A	100 - 150	Muy fina	Muy baja	0	0	55,1	1
SN-090	Magdalena	Santa Marta	10	Bimodal	50 - 75	Ligero	Bien drenado	N/A	N/A	N/A	100 - 150	Fina	Muy baja	0	0	50,87	4
SN-091	Magdalena	Santa Marta	10	Bimodal	50 - 75	Ligero	Bien drenado	N/A	N/A	N/A	100 - 150	Fina	Muy baja	0	0	42,37	1
SN-093	Magdalena	Santa Marta	16	Bimodal	25 - 50	Ligero	Bien drenado	N/A	N/A	N/A	<25	Fina	Muy baja	0	0	78,5	4
SN-094	Magdalena	Santa Marta	15	Bimodal	>75	Ligero	Bien drenado	N/A	N/A	N/A	100 - 150	Media	Muy baja	0	0	54,8	4
SN-097	Magdalena	Santa Marta	10	Bimodal	25 - 50	N/A	Bien drenado	N/A	N/A	N/A	100 - 150	Media	Muy baja	0	0	31,57	2
SN-107	Magdalena	CiŽnaga	9	Monomodal o Bimodal	50 - 75	Moderado	Bien drenado	N/A	N/A	N/A	50 - 75	Fina	#N/A	#N/A	#N/A	#N/A	#N/A
SN-108	Magdalena	CiŽnaga	9	Monomodal o Bimodal	50 - 75	Moderado	Bien drenado	N/A	N/A	N/A	100 - 150	Fina	Baja	0	0	6,6	3
SN-112	Magdalena	CiŽnaga	4	Monomodal o Bimodal	25 - 50	Moderado	Bien drenado	N/A	N/A	N/A	100 - 150	Media	Baja	0	0	0	1
SN-114	Magdalena	CiŽnaga	4	Monomodal o Bimodal	50 - 75	Moderado	Bien drenado	N/A	N/A	N/A	25 - 50	Fina	Media	0	0	0	51
SN-115	Magdalena	CiŽnaga	9	Monomodal o Bimodal	25 - 50	Moderado	Bien drenado	N/A	N/A	N/A	50 - 75	Media	Baja	0	0	8,9	10
SN-116 	Magdalena	Santa Marta	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	0	N/A	100 - 150	Media	#N/A	#N/A	#N/A	#N/A	#N/A
SN-118	Magdalena	Fundaci—n	4	Monomodal o Bimodal	25 - 50	Moderado	Bien drenado	N/A	N/A	N/A	100 - 150	Fina	#N/A	#N/A	#N/A	#N/A	#N/A
SN-121	Magdalena	Santa Marta	3	Monomodal o Bimodal	12 - 25	Severo	Bien drenado	N/A	15	N/A	<25	Fina	Baja	0	0	0	17
SN-122	Magdalena	Santa Marta	9	Monomodal o Bimodal	25 - 50	Moderado	Bien drenado	N/A	N/A	N/A	100 - 150	Media	Media	0	0	0	14
SN-126	Magdalena	Aracataca	18	Bimodal	25 - 50	N/A	Excesivo	N/A	25	N/A	<25	Fina y media	Muy baja	0	0	47,5	27
SN-128	Magdalena	Aracataca	18	Bimodal	50 - 75	Ligero	Bien drenado	N/A	N/A	N/A	50 - 75	Fina y media	Muy baja	0	0	0	1
SN-131	Cesar	Valledupar	19	Bimodal	>75	Ligero	Excesivo	N/A	0	N/A	25 - 50	Fina	Baja	0	0	36,98	2
SN-134	Magdalena	Santa Marta	9	Monomodal o Bimodal	>75	Ligero	Bien drenado	N/A	N/A	N/A	100 - 150	Media	Muy baja	0	0	63,8	12
SN-135	Magdalena	Santa Marta	15	Bimodal	50 - 75	N/A	Excesivo	N/A	20	N/A	<25	Fina	Muy baja	0	0	57,7	10
SN-138	Magdalena	Santa Marta	9	Monomodal o Bimodal	>75	Severo	Excesivo	N/A	N/A	N/A	25 - 50	Fina y media	Muy baja	0	0	69	10
SN-152	Magdalena	Santa Marta	3	Monomodal o Bimodal	1 - 3	N/A	Moderadamente excesivo	Ocasional	N/A	N/A	100 - 150	Media	#N/A	#N/A	#N/A	#N/A	#N/A
SN-154	Magdalena	Santa Marta	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Frecuente	N/A	N/A	100 - 150	Medios	#N/A	#N/A	#N/A	#N/A	#N/A
T-316	Magdalena	CiŽnaga	3	Monomodal o Bimodal	0 - 1	N/A	Bien drenado	N/A	N/A	N/A	<25	Fina	Baja	0	0	0	0
